Name	Title	Series	Money	Description	Industries
Relativity Space	Relativity Space (650 M)	Series E	650000000.0	Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.	3D Technology, Aerospace, Artificial Intelligence, Manufacturing, Supply Chain Management
Gong	Gong (250 M)	Series E	250000000.0	Gong.io is a revenue intelligence platform that delivers insights at scale.	Artificial Intelligence, CRM, Information Technology, Machine Learning, Sales, Software
Boost	Boost (20 M)	Series B	20000000.0	Boost enables innovators to build, offer, and deliver insurance products to their customers.	Financial Services, FinTech, Insurance, InsurTech
Aurora Solar	Aurora Solar (250 M)	Series C	250000000.0	Aurora Solar is a SaaS company that uses aerial imagery to assess solar installation projects.	Clean Energy, Renewable Energy, Software, Solar
Handshake	Handshake (80 M)	Series E	80000000.0	Handshake is a college career network that helps students and recent graduates find their next opportunity.	College Recruiting, Employment, Human Resources, Recruiting
Pinwheel	Pinwheel (20 M)	Series A	20000000.0	Pinwheel is a payroll connectivity company that connects payroll providers through a single point of connectivity for tasks.	Financial Services, Information Technology, Software
WeaveGrid	WeaveGrid (15 M)	Series A	15000000.0	WeaveGrid develops electrification software for the scalable deployment of electric vehicles on the electric grid.	Automotive, Electric Vehicle, Renewable Energy, Software, Transportation
PrizePool	PrizePool (10 M)	Series A	10000000.0	PrizePool is a savings startup that offers savings account that makes saving money fun and even exciting.	Finance, Financial Services, FinTech, Mobile Apps
Loom	Loom (130 M)	Series C	130000000.0	Loom is a work communication tool that enables its users to get a message across instantly shareable videos.	Enterprise Software, Messaging, Video
PortalOne	PortalOne (15 M)	Seed	15000000.0	PortalOne is a gaming startup delivering live game experiences with stunning visuals and next level interactivity.	Content, Digital Entertainment, Gaming, Video Games
Caris Life Sciences	Caris Life Sciences (830 M)	Private Equity	830000000.0	Caris Life Sciences advances precision medicine to provide physicians and patients with information about their health.	Biotechnology, Health Care, Health Diagnostics, Medical
Inxeption	Inxeption (62 M)	Series D	61500000.0	Industrial-strength eCommerce platform, built on Blockchain.	B2B, E-Commerce, E-Commerce Platforms, Software
CloudWalk	CloudWalk (190 M)	Series B	190000000.0	Next-Generation Merchant Acquirer	Credit Cards, Financial Services, Point of Sale, Virtual Currency
Alchemy	Alchemy (80 M)	Series B	80000000.0	Alchemy is a developer platform that helps companies to build reliable decentralized applications.	Blockchain, Developer APIs, Developer Platform
Persona	Persona (50 M)	Series B	50000000.0	Persona is the first all-in-one identity platform securely built to help you serve the real people of your business.	Compliance, Cyber Security, FinTech, Fraud Detection, Identity Management, Information Technology, SaaS, Software
Bitso	Bitso (250 M)	Series C	250000000.0	Bitso is a cryptocurrency exchange platform that allows users to buy and sell bitcoin and other cryptocurrencies.	Bitcoin, Cryptocurrency, Financial Exchanges, FinTech
Mux	Mux (105 M)	Series D	105000000.0	Mux is a video platform designed to make video streaming and analytics possible for every development team.	Analytics, Developer APIs, Developer Tools, Video, Video Streaming
Step	Step (100 M)	Series C	100000000.0	Step is a financial services company that builds mobile-based banking for teenagers.	Finance, Financial Services, FinTech
Orbit	Orbit (15 M)	Series A	15000000.0	Grow and measure your community across any platform with Orbit, mission control for your community.	Internet
Commerce Layer	Commerce Layer (16 M)	Series B	16000000.0	Commerce Layer is a fast, flexible, and secure REST API that lets you add e-commerce to any website, and mobile applications.	E-Commerce, Mobile Apps, Web Hosting
Alan	Alan (223 M)	Series D	222790639.0	Alan is a digital health insurance platform that offers insurance services by focusing on a price-quality ratio health plan.	Health Care, Health Insurance, Insurance
Universal Hydrogen	Universal Hydrogen (20 M)	Series A	20500000.0	Universal Hydrogen is the company fueling carbon-free flight by making hydrogen-powered commercial flight a near-term reality.	Aerospace, CleanTech, Energy
