Name	Title	Series	Money	Description	Industries
Apna	Apna (70 M)	Series B	70000000.0	Apna is a professional networking and jobs platform that helps blue and gray-collar workers find communities and land jobs.	Employment, Human Resources, Recruiting, Staffing Agency
Thumbtack	Thumbtack (275 M)	Series I	275000000.0	Thumbtack is a technology company that builds a modern home management platform.	Internet, Professional Services, Service Industry
Relativity Space	Relativity Space (650 M)	Series E	650000000.0	Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.	3D Technology, Aerospace, Artificial Intelligence, Manufacturing, Supply Chain Management
Waymo	Waymo (2500 M)	Private Equity	2500000000.0	Waymo improves transportation by developing self-driving technology developed in Google’s labs.	Automotive, Autonomous Vehicles, Robotics, Sensor, Software, Transportation
Locus.sh	Locus.sh (50 M)	Series C	50000000.0	Locus is an intelligent decision-making and automation platform for logistics.	Big Data, Data Visualization, Logistics, Software
Gong	Gong (250 M)	Series E	250000000.0	Gong.io is a revenue intelligence platform that delivers insights at scale.	Artificial Intelligence, CRM, Information Technology, Machine Learning, Sales, Software
Prefect	Prefect (32 M)	Series B	32000000.0	Prefect is a workflow management system that helps to eliminate data flow problems for companies’ data teams.	Big Data, Cloud Data Services, Data Integration, Open Source, Software
Imply	Imply (70 M)	Series C	70000000.0	Imply is a multi-cloud data platform designed to deliver real-time ingestion and visualizations for event-driven and streaming data flows.	Analytics, Big Data, Data Visualization, Enterprise Software, Information Technology
Koo App	Koo App (30 M)	Series B	29997487.0	Koo App is an India-based social media platform that allows users to share audio and video.	Apps, Internet, Social Media, Software
Briq	Briq (30 M)	Series B	30000000.0	Briq is a financial forecasting and data intelligence platform for the construction industry.	Construction, Industrial Automation, Infrastructure, Productivity Tools, Software
Dooly	Dooly (80 M)	Series B	80000000.0	Dooly is a sales enablement platform that collects information and insights essential to close business sales.	Artificial Intelligence, Computer, Sales Automation, Software
Nylas	Nylas (120 M)	Series C	120000000.0	Nylas is an API platform that helps developers build features that connect to every email, calendar, and contacts provider in the world.	Cloud Infrastructure, Communications Infrastructure, Developer APIs, Email, SaaS
Outreach	Outreach (200 M)	Series G	200000000.0	Outreach is a sales engagement platform that uses AI for predictive analytics as it relates to sales.	Analytics, Artificial Intelligence, CRM, Enterprise Software, SaaS, Sales, Software
Pitch	Pitch (85 M)	Series B	85000000.0	Pitch is collaborative presentation software for modern teams.	Collaboration, Internet, Presentation Software, SaaS, Software
Forter	Forter (300 M)	Series F	300000000.0	Forter offers a fraud solution that helps retailers grow sales, lower costs, and improve customer experience via its Decision as Service.	E-Commerce, FinTech, Fraud Detection, SaaS
Ankorstore	Ankorstore (102 M)	Series B	102065613.0	Ankorstore is an online B2B marketplace that connects independent shop owners and specialist brands with neighborhood retailers.	B2B, E-Commerce, Marketplace, Retail, Wholesale
Getir	Getir (555 M)	Series D	555000000.0	Getir is a technology company that provides on-demand delivery services.	Delivery Service, E-Commerce, Grocery, Logistics, Mobile Apps
Qualio	Qualio (50 M)	Series B	50000000.0	Qualio is a quality management system helping life sciences companies bring quality products to the market.	Life Science, Medical Device, Pharmaceutical, Productivity Tools, Quality Assurance, Software
Urban Company	Urban Company (188 M)	Series F	188000000.0	Urban provides a marketplace for freelance labor.	Apps, Home Services, Marketplace, Service Industry
Popmenu	Popmenu (65 M)	Series C	65000000.0	Popmenu is a SaaS company that helps restaurants turn their menu into a customer conversion engine.	Hospitality, Information Technology, Internet, Restaurants, SaaS
Snapdocs	Snapdocs (150 M)	Series D	150000000.0	Snapdocs is a mortgage technology company that helps real estate participants closing work together through integration and automation.	Internet, Real Estate, Residential, Software
