Name	Title	Series	Money	Description
Relativity Space	Relativity Space (650 M)	Series E	650000000.0	Relativity Space is an aerospace company that designs, develops, and builds 3D printed rockets.
Locus.sh	Locus.sh (50 M)	Series C	50000000.0	Locus is an intelligent decision-making and automation platform for logistics.
Gong	Gong (250 M)	Series E	250000000.0	Gong.io is a revenue intelligence platform that delivers insights at scale.
Prefect	Prefect (32 M)	Series B	32000000.0	Prefect is a workflow management system that helps to eliminate data flow problems for companies’ data teams.
Koo App	Koo App (30 M)	Series B	29997487.0	Koo App is an India-based social media platform that allows users to share audio and video.
Dooly	Dooly (80 M)	Series B	80000000.0	Dooly is a sales enablement platform that collects information and insights essential to close business sales.
Briq	Briq (30 M)	Series B	30000000.0	Briq is a performance management platform for construction financial professionals to be more efficient and more profitable.
Pitch	Pitch (85 M)	Series B	85000000.0	Pitch is collaborative presentation software for modern teams.
Outreach	Outreach (200 M)	Series G	200000000.0	Outreach is a sales engagement platform that uses AI for predictive analytics as it relates to sales.
Forter	Forter (300 M)	Series F	300000000.0	Forter offers a fraud solution that helps retailers grow sales, lower costs, and improve customer experience via its Decision as Service.
Ankorstore	Ankorstore (102 M)	Series B	102065613.0	Ankorstore is an online B2B marketplace that connects independent shop owners and specialist brands with neighborhood retailers.
Urban Company	Urban Company (188 M)	Series F	188000000.0	Urban provides a marketplace for freelance labor.
Brex	Brex (425 M)	Series D	425000000.0	Brex is a fintech company that offers credit cards and cash management solutions for their customers to save and spend money.
Qualio	Qualio (50 M)	Series B	50000000.0	Qualio is a quality management system helping life sciences companies bring quality products to the market.
Getir	Getir (550 M)	Series D	550000000.0	Getir is a technology company that provides on-demand delivery services.
Popmenu	Popmenu (65 M)	Series C	65000000.0	Popmenu is a SaaS company that helps restaurants turn their menu into a customer conversion engine.
VAST Data	VAST Data (83 M)	Series D	83000000.0	VAST Data is a software company bringing an end to complex storage tiering and unlocking the ability to use flash across the enterprise.
Snapdocs	Snapdocs (150 M)	Series D	150000000.0	Snapdocs is a mortgage technology company that helps real estate participants closing work together through integration and automation.
HoneyBook	HoneyBook (155 M)	Series D	155000000.0	HoneyBook is a business management platform creating tools to help creative entrepreneurs run their business on their own terms.
Moglix	Moglix (120 M)	Series E	120000000.0	Moglix is an online marketplace for business supplies and industrial equipment.
Plum	Plum (16 M)	Series A	15600000.0	High quality health insurance and health benefits
Babel Finance	Babel Finance (40 M)	Series A	40000000.0	Babel Finance is a leading global cryptocurrency financial institution dedicated to serving individuals and institutional clients
Ever/Body	Ever/Body (38 M)	Series B	38000000.0	Ever/Body is a cosmetic dermatology provider of personalized and tech-enabled services.
Xanadu	Xanadu (100 M)	Series B	100000000.0	Xanadu is a photonic quantum computing company that integrates and designs quantum silicon photonic chips.
Current	Current (220 M)	Series D	220000000.0	Current is a financial technology company that offers mobile payments, online banking, and financial services.
Portside	Portside (17 M)	Venture - Series Unknown	17000000.0	Portside is an aircraft data, reporting & analytics platform for individual and corporate plane owners.
Chargebee	Chargebee (125 M)	Series G	125000000.0	Chargebee provides subscription and recurring billing systems for SaaS and e-commerce businesses.
GoMechanic	GoMechanic (35 M)	Series C	35000000.0	GoMechanic provides an online car servicing platform intended to help people to schedule their car servicing online in a desired time.
Ada	Ada (130 M)	Series C	130000000.0	Ada is an automated customer experience company that provides chat bots used in customer support.
Adalo	Adalo (8 M)	Series A	8000000.0	Adalo is a computer software company that specializes in the fields of Android, software, and information technology.
Bitso	Bitso (250 M)	Series C	250000000.0	Bitso is a cryptocurrency exchange platform that allows users to buy and sell bitcoin and other cryptocurrencies.
SafetyCulture	SafetyCulture (74 M)	Series D	73709006.0	SafetyCulture is the operational heartbeat of working teams around the world.
Kajabi	Kajabi (550 M)	Private Equity	550000000.0	Kajabi is a knowledge e-commerce platform that helps entrepreneurs build, market, and sell educational content online.
Clubhouse	Clubhouse ( M)	Series C	nan	Clubhouse is an audio-based social app that allows users to spontaneously join group chats.
MessageBird	MessageBird (800 M)	Series C	800000000.0	MessageBird is a cloud communications platform that connects enterprises to their global customers.
Contractbook, Inc.	Contractbook, Inc. (30 M)	Series B	30000000.0	Contractbook provides an end-to-end contract management platform that automates contract management.
ActiveCampaign	ActiveCampaign (240 M)	Series C	240000000.0	ActiveCampaign specializes in email marketing, marketing automation, and sales automation.
Patreon	Patreon (155 M)	Series F	155000000.0	Patreon is an online platform connecting musicians and other artists with their fan base.
PathAI	PathAI (165 M)	Series C	165000000.0	PathAI is developing technology that assists pathologists in making rapid and accurate diagnoses for every patient, every time.
CoinSwitch Kuber	CoinSwitch Kuber (24 M)	Series B	24103814.0	CoinSwitch Kuber is an India-based cryptocurrency exchange platform.
Productboard	Productboard (72 M)	Series C	72000000.0	Productboard is a product management system that helps organizations get the right products to market faster.
Frubana	Frubana (65 M)	Series B	65000000.0	Frubana is a B2B platform of agri-products and packed goods for restaurants and small retailers.
Cape Privacy	Cape Privacy (20 M)	Series A	20000000.0	Better data, better outcomes - Encrypted learning lets you work with protected data without decrypting it.
